<program, PROGRAM>
<testePascal, id>
<;, PONTO_VIRGULA>
<var, VAR>
<x, id>
<,, VIRGULA>
<y, id>
<:, DOIS_PONTOS>
<integer, INTEGER>
<;, PONTO_VIRGULA>
<flag, id>
<:, DOIS_PONTOS>
<boolean, BOOLEAN>
<;, PONTO_VIRGULA>
<begin, BEGIN>
<x, id>
<:=, ASSIGN>
<10, num>
<;, PONTO_VIRGULA>
<y, id>
<:=, ASSIGN>
<20, num>
<;, PONTO_VIRGULA>
<flag, id>
<:=, ASSIGN>
<true, TRUE>
<;, PONTO_VIRGULA>
<if, IF>
<x, id>
<<, MENOR>
<y, id>
<then, THEN>
<writeln, WRITELN>
<(, ABRE_PAR>
<x, id>
<), FECHA_PAR>
<else, ELSE>
<writeln, WRITELN>
<(, ABRE_PAR>
<y, id>
<), FECHA_PAR>
<;, PONTO_VIRGULA>
<for, FOR>
<x, id>
<:=, ASSIGN>
<1, num>
<to, TO>
<5, num>
<do, DO>
<begin, BEGIN>
<y, id>
<:=, ASSIGN>
<y, id>
<+, MAIS>
<x, id>
<;, PONTO_VIRGULA>
<writeln, WRITELN>
<(, ABRE_PAR>
<y, id>
<), FECHA_PAR>
<end, END>
<;, PONTO_VIRGULA>
<writeln, WRITELN>
<(, ABRE_PAR>
<flag, id>
<), FECHA_PAR>
<end, END>
<., PONTO>
