<variavelX, id>
<contador_2, id>
<MeuIdGigante123, id>
<12345, numInt>
<9, numInt>
<0, zero>
<100, numInt>
<3.1415, numReal>
<.50, numReal>
<199., numReal>
<0.001, numReal>
</#EsteEhUmComentarioValid0#/, comentario>
</#IgnorarIsso#/, comentario>
<|, opLogico>
<!, opLogico>
<=, opAtrib>
<+, opAtrib>
<-, opAtrib>
<*, opAtrib>
<;, PONTO_VIRGULA>
<1010, numInt>
<00, tokenA>
<010, tokenA>
<1110, numInt>
<x, id>
<=, opAtrib>
<10.5, numReal>
<+, opAtrib>
<.99, numReal>
<;, PONTO_VIRGULA>
<flag, id>
<=, opAtrib>
<0, zero>
<;, PONTO_VIRGULA>
<binario, id>
<=, opAtrib>
<1010, numInt>
<;, PONTO_VIRGULA>
