<program, PROGRAM>
<exemploMedio, id>
<{, ABRE_CHAVES>
<int, INT>
<contador, id>
<;, PONTO_VIRGULA>
<float, FLOAT>
<valor, id>
<;, PONTO_VIRGULA>
<float, FLOAT>
<resultado, id>
<;, PONTO_VIRGULA>
<contador, id>
<=, ATRIBUICAO>
<0, num_int>
<;, PONTO_VIRGULA>
<read, READ>
<(, ABRE_PAR>
<valor, id>
<), FECHA_PAR>
<;, PONTO_VIRGULA>
<while, WHILE>
<(, ABRE_PAR>
<contador, id>
<<, OP_MENOR>
<5, num_int>
<), FECHA_PAR>
<{, ABRE_CHAVES>
<valor, id>
<=, ATRIBUICAO>
<valor, id>
<*, OP_VEZES>
<2, num_int>
<;, PONTO_VIRGULA>
<if, IF>
<(, ABRE_PAR>
<valor, id>
<>, OP_MAIOR>
<100, num_int>
<), FECHA_PAR>
<print, PRINT>
<(, ABRE_PAR>
<valor, id>
<), FECHA_PAR>
<;, PONTO_VIRGULA>
<else, ELSE>
<print, PRINT>
<(, ABRE_PAR>
<0, num_int>
<), FECHA_PAR>
<;, PONTO_VIRGULA>
<contador, id>
<=, ATRIBUICAO>
<contador, id>
<+, OP_MAIS>
<1, num_int>
<;, PONTO_VIRGULA>
<}, FECHA_CHAVES>
<}, FECHA_CHAVES>
